spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Liqueur,Tres Plumas,"Mendoza, Argentina",Tres Plumas Apricot Brandy Licor,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Brandy Base; Apricot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.wine-searcher.com/find/tres+plumas+apricot+brandy; _cross_category_capture.md (Brandy Sub 3),2026-06-23,NULL,liqueur_argentina
Liqueur,Tres Plumas,"Mendoza, Argentina",Tres Plumas Cherry Brandy Licor,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Brandy Base; Cherry,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.wine-searcher.com/find/tres+plumas+cherry+brandy; _cross_category_capture.md (Brandy Sub 3),2026-06-23,NULL,liqueur_argentina
