spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Anise Spirits,Arak Al Rayan,"Sweida, Syria",Al Rayan Arak,own_make,NULL,FALSE,FALSE,Arak,NULL,NULL,NULL,100,50,Grape distillate,NULL,NULL,https://theliquorbarn.com/products/al-rayan-arak-100-proof-750ml,2026-06-27,NULL,anise_spirits_syria
Anise Spirits,Arak Al Mimas,"Homs region, Syria",Arak Al Mimas,own_make,NULL,FALSE,FALSE,Arak,NULL,NULL,NULL,100,50,Al-Ubaidi grapes,NULL,NULL,https://specsonline.com/shop/spirits/arak-al-mimas-syria/,2026-06-27,NULL,anise_spirits_syria
