spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Undisclosed (Java),"Java, Indonesia",By the Dutch,sourced,By the Dutch (Herman Jansen),TRUE,FALSE,Pot Still Rum; Aged; Batavia Arrack,,,,96,48,Sugarcane molasses (red-rice wild yeast),Teak & oak (up to 8 yr blend),,https://www.bythedutch.com/batavia-arrack-2/; https://cocktailwonk.com/2016/10/a-new-batavia-arrack-from-by-the-dutch-not-what-youd-expect.html,2026-06-08,https://www.bythedutch.com/wp-content/uploads/2015/09/Batavia-Arack-website.jpg,rum_indonesia
Rum,Undisclosed (Java),"Java, Indonesia",Batavia Arrack van Oosten,sourced,Van Oosten (Herman Jansen),TRUE,FALSE,Pot Still Rum; Aged; Batavia Arrack,,,,96,48,Sugarcane molasses (~2% red rice ferment),Teak & oak (up to 8 yr),,https://distiller.com/spirits/batavia-arrack-van-oosten; https://malt-review.com/2020/11/15/van-oosten-batavia-arrack/,2026-06-08,,rum_indonesia
