spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Liqueur,Grenada Distillers (Clarke's Court),"Woodlands, Grenada",AMAZ-IN Chocolate Crème Liqueur,own_make,NULL,FALSE,FALSE,Cream Liqueur; Rum Base; Chocolate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.clarkescourtrum.com/; _cross_category_capture.md (Rum Sub 1),2026-06-23,NULL,liqueur_grenada
Liqueur,Grenada Distillers (Clarke's Court),"Woodlands, Grenada",Camerhogne Spiced Liqueur,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Rum Base; Spiced,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.clarkescourtrum.com/; _cross_category_capture.md (Rum Sub 1),2026-06-23,NULL,liqueur_grenada
