spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Liqueur,Jing Brand Co.,"Daye, Hubei, China",Jing Chinese Herbal Spirit Liqueur,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Baijiu Base,NULL,NULL,NULL,70,35,NULL,NULL,NULL,https://global.jingpai.com/products/details/32; https://baike.baidu.com/en/item/Jing%20Chinese%20Herbal%20Spirit%20Liqueur/13308,2026-06-23,NULL,liqueur_china
Liqueur,Xinghuacun Fenjiu,"Fenyang, Shanxi, China",Zhuyeqing Jiu (Bamboo Leaf Green),own_make,NULL,FALSE,FALSE,Herbal Liqueur; Baijiu Base,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.tasteatlas.com/best-rated-spirits-and-liqueurs-in-china,2026-06-26,https://cdn.tasteatlas.com/images/ingredients/e8f4097092fc40a7a7c80a4d494e019b.jpg,liqueur_china
Liqueur,Zhonghua (Jing Brand),"Daye, Hubei, China",Zhong Hua Jing Jiu,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Baijiu Base,NULL,NULL,NULL,70,35,NULL,NULL,NULL,https://wine88.com/en/jing-jiu/37-zhong-hua-jing-jiu-.html,2026-06-26,https://wine88.com/50-large_default/zhong-hua-jing-jiu-.jpg,liqueur_china
Liqueur,Various (traditional),China,Wujiapi Jiu,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Baijiu Base,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Baijiu,2026-06-28,NULL,liqueur_china
Liqueur,Yanghe Distillery,"Suqian, Jiangsu, China",Zhi Mao Tai Herbal Tonic Liqueur,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Baijiu Base,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.tasteatlas.com/best-rated-spirits-and-liqueurs-in-china,2026-06-28,NULL,liqueur_china
