spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Liqueur,Don Q (Destilería Serrallés),"Ponce, Puerto Rico",Don Q Naranja,own_make,,FALSE,FALSE,Fruit Liqueur; Rum Base; Orange,,,,60,30,,American white oak,,https://winenliquor.com/p/don-q-naranja-1l/; https://www.prnewswire.com/news-releases/destileria-serralles-inc-introduces-don-q-naranja-301847770.html,2026-06-26,https://slash1.winenliquor.com/wp-content/uploads/don-q-naranja-1l.png,liqueur_puerto_rico
Liqueur,Don Q (Destilería Serrallés),"Ponce, Puerto Rico",Don Q Coco,own_make,,FALSE,FALSE,Fruit Liqueur; Rum Base; Coconut,,,,42,21,,,,https://winenliquor.com/p/don-q-coco-1l/; https://donq.com/our-rums/,2026-06-26,https://slash1.winenliquor.com/wp-content/uploads/don-q-coco-1l.jpeg,liqueur_puerto_rico
Liqueur,Don Q (Destilería Serrallés),"Ponce, Puerto Rico",Don Q Piña,own_make,,FALSE,FALSE,Fruit Liqueur; Rum Base; Pineapple,,,,60,30,,ex-bourbon American white oak,,https://spiritsreview.com/reviews/don-q-pina-flavored-rum/; https://www.gotrum.com/rumreviews/angels-share-rum-reviews/don-q-pi%C3%B1a/,2026-06-26,https://spiritsreview.com/wp-content/uploads/2018/02/IMGP0309-e1519257085287.jpg,liqueur_puerto_rico
Liqueur,Don Q (Destilería Serrallés),"Ponce, Puerto Rico",Don Q Limón,own_make,,FALSE,FALSE,Fruit Liqueur; Rum Base; Lime,,,,60,30,,,,https://donq.com/our-rums/; https://www.prnewswire.com/news-releases/destileria-serralles-inc-introduces-don-q-naranja-301847770.html,2026-06-26,https://mma.prnewswire.com/media/2098049/Baltz_Company_Don_Q_Rum_Naranja_Bottle.jpg,liqueur_puerto_rico
Liqueur,Don Q (Destilería Serrallés),"Ponce, Puerto Rico",Don Q Pasión,own_make,,FALSE,FALSE,Fruit Liqueur; Rum Base; Passion Fruit,,,,60,30,,,,https://donq.com/our-rums/; https://www.prnewswire.com/news-releases/destileria-serralles-inc-introduces-don-q-naranja-301847770.html,2026-06-26,https://mma.prnewswire.com/media/2098049/Baltz_Company_Don_Q_Rum_Naranja_Bottle.jpg,liqueur_puerto_rico
