spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rye,Multiple US Distilleries (KY / PA / IN),Multiple US States,Hochstadter's Vatted Straight Rye Whiskey,sourced,Cooper Spirits International,TRUE,FALSE,Straight Rye,4-15 Years (blend),NULL,NULL,100,50,NULL,New charred American oak,NULL,https://distiller.com/spirits/hochstadter-s-vatted-straight-rye-whiskey;https://thewhiskeywash.com/reviews/whiskey-review-hochstadters-family-reserve-straight-rye-whiskey/,2026-06-23,NULL,rye_ndps_bottlers
Rye,Multiple US Distilleries (IN / TN),Multiple US States,Barrell Rye Batch 001,sourced,Barrell Craft Spirits,TRUE,FALSE,Straight Rye,4.5 Years,NULL,Batch 001,117,58.5,Blend of 51% rye / 49% malted barley (Indiana) and rye / corn / malted barley (Tennessee),New charred American oak,NULL,https://breakingbourbon.com/review/barrell-rye-batch-001;https://thewhiskeywash.com/reviews/whiskey-review-barrell-rye-batch-001/,2026-06-23,NULL,rye_ndps_bottlers
Rye,"MGP of Indiana / Ross & Squibb (Lawrenceburg, IN)","Lawrenceburg, IN",Pinhook Vertical Series Rye 8 Year (2024),sourced,Pinhook (CJS Beverage Corp),TRUE,FALSE,Straight Rye; Vertical Series 8 Year; Tiz Rye Time,8 Years,2024,2024 Release (32 barrels),108.4,54.2,"95% rye, 5% malted barley","New charred American oak (aged at Castle & Key, Frankfort, KY)",NULL,https://pinhookbourbon.com/products/vertical-series-rye,2026-06-23,https://pinhookbourbon.com/cdn/shop/files/2024-vertical-series-rye-8.png?v=1717090687,rye_ndps_bottlers
Rye,"MGP of Indiana / Ross & Squibb (Lawrenceburg, IN)","Lawrenceburg, IN",Pinhook Vertical Series Rye 9 Year (2025),sourced,Pinhook (CJS Beverage Corp),TRUE,FALSE,Straight Rye; Vertical Series 9 Year; Tiz Rye Time,9 Years,2025,2025 Release (20 barrels),111.2,55.6,"95% rye, 5% malted barley","New charred American oak (aged at Castle & Key, Frankfort, KY)",NULL,https://pinhookbourbon.com/products/vertical-series-rye-8-year,2026-06-23,https://pinhookbourbon.com/cdn/shop/files/2025-vertical-series-rye-9_415aa604-9d93-435c-a85b-c4bdba7a944e.png?v=1739285290,rye_ndps_bottlers
Rye,"Undisclosed (sourced, Canada)",Canada,Found North Cask Strength Rye Whisky Batch 001,sourced,Found North,TRUE,FALSE,Rye; Cask Strength; Batch 001,16-20 Years (blend),NULL,"Batch 001 (1,327 bottle outrun)",114.2,57.1,"66% rye, 30% corn, 4% malted barley",Hungarian oak / ex-Speyside scotch casks / virgin oak (blend components),NULL,https://grainvine.com/products/found-north-16-years-old-cask-strength-rye-whisky-batch-001,2026-06-23,https://grainvine.com/cdn/shop/products/batch-001_1024x1024_d7797d99-578a-47f5-a07a-725ed25509ee.jpg?crop=center&height=1200&v=1662843388&width=1200,rye_ndps_bottlers
Rye,"Undisclosed (sourced, Canada)",Canada,Found North Cask Strength Rye Whisky Batch 003,sourced,Found North,TRUE,FALSE,Rye; Cask Strength; Batch 003,17-25 Years (blend),NULL,"Batch 003 (2,792 bottle outrun)",110.2,55.1,"64% rye, 32% corn, 4% malted barley",Ex-tequila barrels / ex-Speyside scotch casks / used American oak / Hungarian oak (blend components),NULL,https://grainvine.com/products/found-north-17-years-old-cask-strength-rye-whisky-batch-003;https://seelbachs.com/products/found-north-cask-strength-whiskey-batch-003,2026-06-23,https://grainvine.com/cdn/shop/products/Batch-003_1024x1024_a93d7312-927e-4bf7-8151-7f037a83edbb.jpg?crop=center&height=1200&v=1662843385&width=1200,rye_ndps_bottlers
Rye,"Frey Ranch Distillery (Fallon, NV)","Fallon, NV",Lost Lantern Single Cask #8 Frey Ranch Estate-Grown Nevada Straight Rye (2025),sourced,Lost Lantern,TRUE,FALSE,Straight Rye; Single Cask #8,6 Years,NULL,"Lost Lantern 2025 Single Cask #8, Barrel 53 (230 bottles)",118.5,59.25,100% Frey Ranch-grown winter rye,"53-gallon new American oak, Char 4 staves / Char 3 heads",NULL,https://shop.lostlanternwhiskey.com/products/frey-ranch-estate-grown-nevada-straight-rye,2026-06-23,https://shop.lostlanternwhiskey.com/cdn/shop/files/freyranchnevadarye_e575ab59-276e-4ab0-89fc-7570aece0a32.png?v=1781293752,rye_ndps_bottlers
Rye,"New Riff Distilling (Newport, KY)","Newport, KY",Lost Lantern 2026 Single Cask #8 New Riff Distilling Kentucky Straight Rye,sourced,Lost Lantern,TRUE,FALSE,Kentucky Straight Rye; Single Cask #8,6 Years,NULL,Lost Lantern 2026 Single Cask #8 (172 bottles),115.1,57.55,"95% rye, 5% malted rye",New charred American oak (single cask),NULL,https://www.breakingbourbon.com/review/lost-lantern-2026-single-cask-8-new-riff-distilling-kentucky-rye,2026-06-23,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/69c2a787e887fce32c905103_lost-lantern-2026-single-cask-8-new-riff-distilling-kentucky-rye-01.jpg,rye_ndps_bottlers
Rye,"MGP of Indiana / Ross & Squibb (Lawrenceburg, IN)","Lawrenceburg, IN",Smoke Wagon Bottled in Bond Straight Rye Whiskey,sourced,Nevada H&C Distilling Co. (Smoke Wagon),TRUE,FALSE,Straight Rye; Bottled in Bond,4 Years,NULL,NULL,100,50,"51% rye, 49% corn",New charred American oak (aged in Nevada),NULL,https://seelbachs.com/products/smoke-wagon-bottled-in-bond-rye-whiskey;https://www.caskers.com/smoke-wagon-bottled-in-bond-straight-rye-whiskey/,2026-06-23,https://seelbachs.com/cdn/shop/files/SmokeWagonBottledinBondRyeWhiskey.png?v=1759753129,rye_ndps_bottlers
