spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Gin,Filliers,"Deinze, East Flanders, Belgium",Filliers,own_make,,FALSE,FALSE,Distilled Gin; ; Dry Gin 28,,,,92,46,,,,https://filliersdistillery.com/en/products/premium-brands/;https://www.gin-foundry.com/gin/filliers-dry-gin-28/,2026-06-10,NULL,gin_belgium
Gin,Filliers,"Deinze, East Flanders, Belgium",Filliers,own_make,,FALSE,FALSE,Distilled Gin; Barrel Aged; Dry Gin 28 Barrel Aged,,,,87.4,43.7,,Oak,,https://distiller.com/spirits/filliers-dry-gin-28-barrel-aged,2026-06-10,NULL,gin_belgium
Gin,Filliers,"Deinze, East Flanders, Belgium",Filliers,own_make,,FALSE,FALSE,Distilled Gin; ; Dry Gin 28 Pine Blossom,,,,85.2,42.6,,,,https://www.finedrams.com/filliers-dry-gin-28-pine-blossom.html;https://distiller.com/spirits/filliers-dry-gin-28-pine-blossom,2026-06-27,https://d1wd5rt8ssn8ry.cloudfront.net/image/21546-large-1/filliers-dry-gin-28-pine-blossom.jpg,gin_belgium
Gin,Filliers,"Deinze, East Flanders, Belgium",Filliers,own_make,,FALSE,FALSE,"Genever; Oude, Graanjenever; 5 Year Oude Graanjenever",5 Years,,,76,38,,Oak,,https://distiller.com/spirits/filliers-5-year-oude-graanjenever;https://www.beersofeurope.co.uk/spirits/country/belgium/filliers-oude-graanjenever-5-jaar,2026-06-10,NULL,gin_belgium
Gin,Filliers,"Deinze, East Flanders, Belgium",Filliers,own_make,,FALSE,FALSE,"Genever; Oude, Graanjenever; 8 Year Oude Graanjenever (50°)",8 Years,,,100,50,,Oak,,https://www.masterofmalt.com/jenever/filliers/filliers-50-degrees-8-year-old-oude-graanjenever-jenever/;https://distiller.com/spirits/filliers-8-year-oude-graanjenever,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/32849_source_1758882936.jpg,gin_belgium
