spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
World Whiskey,Zuidam Distillery,"Baarle-Nassau, Netherlands",Millstone,own_make,NULL,FALSE,FALSE,Single Malt,5 Years,NULL,NULL,80,40.0,NULL,Ex-bourbon,NULL,https://www.zuidam.nl/en/brands/whisky;https://www.masterofmalt.com/whiskies/zuidam/millstone-5-year-old-dutch-single-malt-whisky/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/31609_source_1758882986.jpg,world_whiskey_netherlands
World Whiskey,Zuidam Distillery,"Baarle-Nassau, Netherlands",Millstone,own_make,NULL,FALSE,FALSE,Grain Whisky; 100 Rye,NAS,NULL,NULL,100,50.0,100% rye,Ex-bourbon; various oak,NULL,https://www.zuidam.nl/en/brands/whisky;https://flaviar.com/products/zuidam-millstone-100-rye-whisky-750,2026-06-26,https://flaviar.com/cdn/shop/files/Zuidam-Millstone-100-Rye-Whisky-Shadow_c82b272a-eb19-430d-b141-0f26767012bb.png,world_whiskey_netherlands
World Whiskey,Zuidam Distillery,"Baarle-Nassau, Netherlands",Millstone,own_make,NULL,FALSE,TRUE,Single Malt; Cask Strength,NAS,NULL,NULL,NULL,NULL,NULL,Varies (bourbon; sherry; wine; PX),NULL,https://www.zuidam.nl/en/brands/whisky;https://www.thewhiskyexchange.com/b/305/millstone-rest-of-the-world-whisky,2026-06-26,NULL,world_whiskey_netherlands
World Whiskey,Us Heit Distillery,"Bolsward, Netherlands",Frysk Hynder,own_make,NULL,FALSE,TRUE,Single Malt; Single Cask,NAS,NULL,NULL,NULL,NULL,100% malted barley (own malt house),French; Portuguese; Spanish oak casks,NULL,https://www.usheit.com/en/usheitdistillery/assortment-whisky/,2026-06-26,NULL,world_whiskey_netherlands
World Whiskey,Us Heit Distillery,"Bolsward, Netherlands",Old Rij,own_make,NULL,FALSE,TRUE,Grain Whisky; Frisian Rye,NAS,NULL,NULL,NULL,NULL,Rye,Oak casks,NULL,https://www.usheit.com/en/usheitdistillery/assortment-whisky/,2026-06-26,NULL,world_whiskey_netherlands
