spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Liqueur,Latvijas Balzams (Amber),"Riga, Latvia",Riga Black Balsam Original,own_make,NULL,FALSE,FALSE,Herbal Liqueur,NULL,NULL,NULL,90,45,NULL,NULL,NULL,https://amberlb.lv/en/production/riga-black-balsam/; https://en.wikipedia.org/wiki/Riga_Black_Balsam,2026-06-26,https://amberlb.lv/wp-content/uploads/2019/01/RMB-07L.jpg,liqueur_latvia
Liqueur,Latvijas Balzams (Amber),"Riga, Latvia",Riga Black Balsam Currant,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Blackcurrant,NULL,NULL,NULL,60,30,NULL,NULL,NULL,https://theliquorbarn.com/products/riga-black-balsam-currant-750ml; https://amberlb.lv/en/production/riga-black-balsam/,2026-06-26,http://theliquorbarn.com/cdn/shop/files/BalsamCurrant.png,liqueur_latvia
Liqueur,Latvijas Balzams (Amber),"Riga, Latvia",Riga Black Balsam Cherry,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Cherry,NULL,NULL,NULL,60,30,NULL,NULL,NULL,https://amberlb.lv/en/production/riga-black-balsam-cherry/,2026-06-26,https://amberlb.lv/wp-content/uploads/2024/05/RMB-kirshu-07L.jpg,liqueur_latvia
Liqueur,Latvijas Balzams (Amber),"Riga, Latvia",Riga Black Balsam Espresso,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Coffee,NULL,NULL,NULL,80,40,NULL,NULL,NULL,https://amberlb.lv/en/production/riga-black-balsam-espresso/; https://theliquorbarn.com/products/riga-black-balsam-espresso-750ml,2026-06-26,https://amberlb.lv/wp-content/uploads/2019/07/RMB-espresso-05L.jpg,liqueur_latvia
Liqueur,Latvijas Balzams (Amber),"Riga, Latvia",Riga Black Balsam Element,own_make,NULL,FALSE,FALSE,Herbal Liqueur,NULL,NULL,NULL,90,45,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Riga_Black_Balsam; https://amberlb.lv/en/production/riga-black-balsam/,2026-06-26,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/R%C4%ABgas_Melnais_balzams_%28Upe%C5%86u%2C_klasiskais_un_Element%29.jpg/1280px-R%C4%ABgas_Melnais_balzams_%28Upe%C5%86u%2C_klasiskais_un_Element%29.jpg,liqueur_latvia
