spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Brandy,Carmel Winery,"Rishon LeZion, Israel",Carmel 777,own_make,NULL,FALSE,FALSE,Brandy; 777,3 Years,NULL,NULL,80.0,40.0,NULL,Oak,NULL,https://www.thewhiskyworld.com/carmel-777-brandy-p9425; https://winesisrael.com/en/455/israels-forgotten-brandies/,2026-06-26,NULL,brandy_israel
Brandy,Carmel Winery,"Rishon LeZion, Israel",Carmel 777,own_make,NULL,FALSE,FALSE,Brandy; 777 Orange (flavoured),3 Years,NULL,NULL,NULL,NULL,NULL,Oak,NULL,https://www.wine-searcher.com/find/carmel+777+orange+brandy+israel,2026-06-13,NULL,brandy_israel
Brandy,Carmel Winery,"Rishon LeZion, Israel",Carmel,own_make,NULL,FALSE,FALSE,Brandy; Extra Fine,2 Years,NULL,NULL,NULL,NULL,NULL,Oak,NULL,https://winesisrael.com/en/455/israels-forgotten-brandies/,2026-06-28,NULL,brandy_israel
