spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Liqueur,Legendario,"Havana, Cuba",Legendario Elixir de Cuba,own_make,,FALSE,FALSE,Fruit Liqueur; Rum Base; Raisin,7 Year,,,68,34,,American white oak,,https://www.htfw.com/legendario-elixir-de-cuba-7-year-old-rum; https://www.masterofmalt.com/liqueurs/legendario/legendario-elixir-de-cuba-rum-punch-liqueur/,2026-06-28,NULL,liqueur_cuba
Liqueur,Ron Mulata,"Villa Clara, Cuba",Ron Mulata Elixir de Cuba,own_make,,FALSE,FALSE,Fruit Liqueur; Rum Base; Raisin,,,,68,34,,,,https://www.mulata.de/elixir-de-cuba/; https://www.bottiglieriadelmassimo.it/en/product/mulata-elixir-de-cuba-cl-70/,2026-06-23,,liqueur_cuba
Liqueur,Havana Club,"Santa Cruz del Norte, Cuba",Havana Club Cuban Spiced,own_make,,FALSE,FALSE,Class TBD; Rum Base; Spiced,,,,70,35,,,,https://havana-club.com/en/product/havana-club-cuban-spiced/,2026-06-28,NULL,liqueur_cuba
Liqueur,Havana Club,"Santa Cruz del Norte, Cuba",Havana Club Mango Lime,own_make,,FALSE,FALSE,Fruit Liqueur; Rum Base; Mango,,,,60,30,,,,https://mydrinx.shop/products/havana-club-mango-lime-spirit-drink-30-vol-0-7l; https://www.delicando.com/en/36099/havana-club-mango-lime-spirit-drink-30-vol-07l,2026-06-26,http://mydrinx.shop/cdn/shop/files/53b20ffdb55eb9d05af917a1ef469600d50abba63340298e2e68d004d89bef84.jpg,liqueur_cuba
