spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Liqueur,SelvaRey,"Panama City, Panama",SelvaRey Chocolate (Cacao),own_make,,FALSE,FALSE,Fruit Liqueur; Rum Base; Cacao,,,,70,35,,ex-bourbon,,https://www.caskers.com/selvarey-cacao-rum/; https://en.wikipedia.org/wiki/SelvaRey_Rum,2026-06-26,https://cdn.caskers.com/catalog/product/cache/4f6989790ecdd0e389055fabaf312a4d/s/e/selvarey-cacao-rum-1.jpg,liqueur_panama
Liqueur,SelvaRey,"Panama City, Panama",SelvaRey Coconut,own_make,,FALSE,FALSE,Fruit Liqueur; Rum Base; Coconut,,,,60,30,,,,https://en.wikipedia.org/wiki/SelvaRey_Rum; https://theliquorbros.com/products/selvarey-coconut-rum-750ml,2026-06-26,http://theliquorbros.com/cdn/shop/products/selva_ray_1_00e19e4f-df66-46ca-9179-9f0f8c49d204_1200x1200.png,liqueur_panama
Liqueur,Pedro Mandinga,"Panama City, Panama",Pedro Mandinga Geisha Coffee Liqueur,own_make,,FALSE,FALSE,Coffee Liqueur; Rum Base,,,,56,28,,,,https://www.excellencerhum.com/en/panama/11183-rum-pedro-mandinga-rum-geisha-coffee-liqueur.html,2026-06-26,https://cdn3.excellencerhum.com/22431-thickbox_default/rum-pedro-mandinga-rum-geisha-coffee-liqueur.jpg,liqueur_panama
Liqueur,Pedro Mandinga,"Panama City, Panama",Pedro Mandinga Cocoa Liqueur,own_make,,FALSE,FALSE,Fruit Liqueur; Rum Base; Cacao,,,,,,,,,https://www.excellencerhum.com/en/panama/11185-rum-pedro-mandinga-rum-cocoa-liqueur.html,2026-06-26,https://cdn2.excellencerhum.com/22433-thickbox_default/rum-pedro-mandinga-rum-cocoa-liqueur.jpg,liqueur_panama
